,0
konstitutsiyaviy,284
tuzum,177
suverenitet,18
konstitutsiya,38
o‘zbekiston,656
respublikasi,524
va,947
jamiyat,23
qurilishi,1
konstitutsiya]o‘zbekiston,1
konstitutsiyasimazkur,1
yangi,7
tahrirdagi,1
konstitutsiyasi,17
yil,10
aprel,1
kuni,2
o‘tkazilgan,1
referendumida,1
umumxalq,2
ovoz,12
berish,15
orqali,14
qabul,50
qilingan,16
muqaddima,1
biz,1
o‘zbekistonning,5
yagona,9
xalqi,3
inson,83
huquq,122
erkinliklariga,5
milliy,10
umuminsoniy,3
qadriyatlarga,2
davlat,232
suvereniteti,3
prinsiplariga,4
sodiqligimizni,1
tantanali,2
ravishda,6
qilib,6
demokratiya,2
erkinlik,8
tenglik,3
ijtimoiy,65
adolat,3
birdamlik,2
g‘oyalariga,1
sadoqatimizni,1
namoyon,1
uning,71
hayoti,3
erkinligi,15
qadrqimmati,5
oliy,296
qadriyat,2
hisoblanadigan,1
insonparvar,1
demokratik,5
davlatni,2
ochiq,2
adolatli,4
jamiyatni,1
barpo,1
etish,62
borasida,2
hozirgi,2
kelajak,2
avlodlar,2
oldidagi,1
yuksak,1
anglagan,1
holda,18
davlatchiligimiz,1
rivojining,1
uch,7
ming,2
yildan,1
ziyod,1
tarixiy,4
tajribasiga,1
shuningdek,68
jahon,3
sivilizatsiyasiga,1
beqiyos,1
hissa,1
qo‘shgan,2
buyuk,1
ajdodlarimizning,1
ilmiy,9
madaniy,12
merosiga,1
tayanib,1
mamlakatimizning,1
bebaho,1
tabiiy,39
boyliklarini,1
ko‘paytirishga,1
hamda,102
uchun,59
asrabavaylashga,1
atrofmuhit,1
musaffoligini,1
saqlashga,3
astoydil,1
ahd,1
xalqaro,63
huquqning,7
etilgan,14
prinsip,5
normalariga,8
asoslangan,1
hamjamiyati,1
eng,14
avvalo,1
qo‘shni,1
davlatlar,5
bilan,115
do‘stona,1
munosabatlarini,2
hamkorlik,1
o‘zaro,7
qo‘llabquvvatlash,5
tinchlik,1
totuvlik,1
asosida,18
mustahkamlash,2
rivojlantirishga,4
intilib,1
fuqarolarning,43
munosib,4
hayot,4
kechirishini,1
millatlararo,1
konfessiyalararo,1
totuvlikni,1
ko‘p,2
millatli,1
jonajon,1
o‘zbekistonimizning,1
farovonligini,3
gullabyashnashini,1
maqsad,2
qilgan,6
ushbu,19
konstitutsiyani,4
qilamiz,1
qilamizbirinchi,1
bo‘lim,6
asosiy,47
bob,27
boshqaruvning,1
respublika,12
shakliga,1
ega,30
bo‘lgan,31
suveren,3
huquqiy,16
dunyoviy,1
davlatning,8
“o‘zbekiston,75
“o‘zbekiston”,1
degan,1
nomlari,1
bir,39
xalq,30
irodasini,2
ifoda,2
etib,6
manfaatlariga,7
xizmat,17
qiladi,24
organlari,86
mansabdor,17
shaxslar,17
fuqarolar,23
oldida,6
o‘zining,4
milliydavlat,2
tuzilishini,1
hokimiyati,48
organlarining,33
tizimini,5
belgilaydi,2
ichki,10
tashqi,17
siyosatini,3
amalga,68
hudud,4
chegarasi,1
hududi,2
daxlsiz,1
bo‘linmasdir lexuz,1
sharhiqarang,135
respublikasining,207
tuzilishi,11
to‘g‘risida”gi,142
tili,3
o‘zbek,2
fuqaroning,64
huquqlari,85
erkinliklari,70
burchlari,57
erkinlikning,13
kafolati,13
himoyasi,13
o‘z,65
hududida,17
istiqomat,1
qiluvchi,6
millat,1
elatlarning,1
tillari,1
urfodatlari,1
hurmat,3
qilinishini,4
ularning,32
rivojlanishi,6
sharoit,1
ramzlari,4
poytaxt,2
gerbi,3
madhiyasi,2
bayrog‘i]modda,1
qonun,62
tasdiqlanadigan,1
bayrog‘i,2
madhiyasiga,1
to‘g‘risida”,4
poytaxti,1
toshkent,9
shahriii,1
hokimiyatchiligimodda,1
hokimiyatining,6
birdanbir,1
manbaidir,1
respublikasida,25
manfaatlarini,5
ko‘zlab,2
qonunlar,3
vakolat,8
bergan,2
organlar,2
tomonidangina,1
konstitutsiyada,4
nazarda,25
tutilmagan,1
tartibda,19
vakolatlarini,9
o‘zlashtirish,1
hokimiyat,9
faoliyatini,31
to‘xtatib,3
qo‘yish,3
yoki,49
tugatish,8
hokimiyatning,2
muvoziy,1
tarkiblarini,1
tuzish,5
konstitutsiyaga,6
xilof,4
hisoblanadi,10
qonunga,25
binoan,21
javobgarlikka,4
tortishga,1
asos,4
bo‘ladi lexuz,2
jinoyat,19
kodeksining,40
aholi,11
xalqini,1
millatidan,1
nazar,4
fuqarolari,9
tashkil,40
mazkur,16
konstitutsiyaning,15
referendum,9
saylov,42
tizimi,30
hayotining,6
muhim,6
masalalari,25
muhokamasiga,6
taqdim,13
etiladi,5
ovoziga,1
referendumga,2
qo‘yiladi,5
o‘tkazish,11
tartibi,35
referendumi,4
majlisi,66
majlis,56
senati,90
yuqori,13
palatasi,138
vakolati,11
qonunchilik,186
quyi,17
palata,17
prezidenti,63
nomidan,6
faqat,18
u,11
saylagan,1
ish,16
olib,10
borishi,1
moddalari,25
jamiyatning,5
bironbir,2
qismi,36
siyosiy,34
partiya,1
jamoat,22
birlashmasi,1
harakat,2
alohida,9
shaxs,22
borishga,1
haqli,10
umumiy,87
qoidalar,17
majlisga,7
saylovlar,12
vazirlar,50
mahkamasi,33
ga,34
qarang,25
sud,52
chiqaruvchi,5
ijro,22
etuvchi,13
hokimiyatiga,1
bo‘linishi,2
prinsipiga,4
moddasining,45
birinchi,36
moddasimodda,3
institutlar,3
mafkuralar,1
fikrlarning,1
xilmaxilligi,1
rivojlanadi,1
hech,15
qaysi,2
mafkura,1
mafkurasi,1
sifatida,5
o‘rnatilishi,1
mumkin,55
prinsiplarga,1
asoslanadi,1
ularga,8
ko‘ra,7
boshqa,98
ajralmas,2
erkinliklar,32
himoya,47
barqaror,6
rivojlanishini,2
maqsadida,6
qonuniylik,5
prinsiplari,4
oshiradiiii,1
qonunning,8
qonunlarining,6
ustunligi,1
so‘zsiz,1
tan,3
olinadi,1
mamlakatning,2
butun,8
yuridik,23
kuchga,10
to‘g‘ridanto‘g‘ri,4
amal,7
makonning,1
asosini,2
sudi,20
qonunining,58
munosabatlar,16
shartnomalar,2
huquqi,22
shartnomalari,6
normalari,1
qatorda,1
tizimining,2
tarkibiy,4
qismidir,1
agar,11
shartnomasida,1
qonunida,1
tutilganidan,1
boshqacha,2
belgilangan,24
bo‘lsa,6
shartnomasi,1
qoidalari,2
qo‘llaniladi lexuz,1
qonuni,36
tashkilotlar,15
fuqarolik,34
jamiyati,7
institutlari,3
qonunlarga,3
muvofiq,30
birorta,2
qoidasi,1
bo‘limida,1
tutilgan,22
normalarga,1
zarar,3
yetkazadigan,1
tarzda,8
talqin,2
etilishi,11
emas,16
qonunlari,12
normativhuquqiy,10
hujjatlari,3
uni,12
yuzasidan,24
qilinadi,6
hujjat,1
zid,4
bo‘lishi,20
hujjatlar,13
moddasiiv,1
aloqalarni,7
sohasida,9
munosabatlarning,1
to‘la,2
huquqli,1
davlatlararo,10
aloqalarda,5
masalalar,32
munosabatlarda,8
tamoyillar,1
nizolarni,2
hal,11
qilishning,3
tinch,3
siyosati,5
davlatlarning,4
tengligi,2
kuch,2
ishlatmaslik,1
tahdid,4
qilmaslik,2
chegaralarning,1
buzilmasligi,1
hududiy,6
yaxlitligi,1
yo‘l,20
ishlariga,3
aralashmaslik,1
ikki,21
tomonlama,3
munosabatlarni,1
har,51
taraflama,2
qaratilgan,4
tinchliksevar,1
siyosatni,1
bobi,5
shartnomalarini,1
bajarishga,2
doir,8
xalqning,3
manfaatlaridan,2
farovonligi,2
xavfsizligidan,1
kelib,4
chiqqan,3
ittifoqlar,1
tuzishi,2
hamdo‘stliklarga,1
tuzilmalarga,1
kirishi,4
ulardan,6
chiqishi,6
mumkinikkinchi,1
burchlariv,1
insonning,10
kafolatlanadi,5
kimga,7
tug‘ilganidan,1
boshlab,3
tegishli,12
bo‘ladi[okoz,2
barcha,15
xil,3
erkinliklarga,1
bo‘lib,7
jinsi,1
irqi,1
millati,1
dini,1
mavqeyidan,1
moddasi,52
fuqaroligi,8
to‘rtinchi,6
ishlarini,10
yuritish,6
to‘g‘risidagi,59
protsessual,5
oila,19
kodeksi,6
mehnat,28
javobgarlik,6
kodeksning,1
imtiyozlar,1
belgilanadi,3
mos,1
shartmodda,1
fuqarosi,8
birbiriga,1
nisbatan,7
majburiyatlar,2
bog‘liqdir[okoz,1
shaxsiy,35
daxlsizlik,9
obro‘siga,4
tajovuzlardan,4
hayotiga,5
aralashishdan,4
himoyalanish,6
turar,5
joy,4
daxlsizligi,6
qonunlarda,10
mustahkamlab,1
qo‘yilgan,3
daxlsizdir,4
qarorisiz,3
mahrum,13
etishga,7
ularni,13
cheklab,2
qo‘yishga,1
kim,30
bevosita,4
qonunlarning,3
o‘zini,23
o‘zi,26
boshqarish,22
shaxslari,3
faoliyatining,11
